# matchedfilter ACCURACY table -- false dismissal, measured
#
# commit  d3fd917
# trials  24000 injected per cell
#
# THE GPU'S ALGORITHM, measured with the GPU filtering.
#
# accuracy.txt is the same grid measured with the CPU filtering, and the two
# are not interchangeable: where the CPU interpolates the coarse peak, the
# GPU escalates the whole interpolation window, so it refines a superset of
# the CPU's pairs. Measured over the 5600 shared cells at 24000 trials each,
# the GPU's summed dismissal is 0.807 of the CPU's -- 92% of cells agree
# within 2 sigma, 7% are genuinely lower, and 1% higher, which is fewer than
# the ~2.3% that 5600 two-sigma comparisons produce by chance.
#
# So the GPU was keeping a promise made for a more aggressive algorithm than
# it runs, and paying for it in refinement it did not need.
#
# Covers only the lengths the GPU backend runs. accuracy.txt still serves
# every other length and the CPU.
#
# KEY: n, taps, snr, in-band fraction f, effective bandwidth B_eff, coarse
# margin. BAND IS NOT IN THE KEY. Measured at n=8192, f=0.99, B_eff=16, the
# dismissal across bands 256, 512, 1024 and 2048 is 1.64, 1.88, 1.77 and
# 1.75e-2 -- a 1.14x spread inside the error bars, across band/B_eff from 16
# to 128. A candidate band enters only through the (f, B_eff) at its own
# edge, which selection computes from the reference.
#
# B_eff is sampled ABSOLUTELY, not as a fraction of the band. The previous
# grid did the latter, which tied it to the variable that does not matter
# and left a floor near band/10 -- so it never reached the values real
# references have. The FIR-search reference sits at B_eff 1.1 at every band.
#
# The margin dominates: 90x across 0.97 to 1.00, against 1.6x for 16x of n
# and 1.14x across every band. It gets the finest ladder.
#
# Rates below about 3/trials are not resolved and read as 0.0; that is a
# resolution floor, not a demonstration of safety.
#
# ACC2 n K snr f beff margin dismissal
ACC2 1024 4 5.00 0.8000 2.03 0.900 0.0000e+00
ACC2 1024 4 5.00 0.8000 2.03 0.930 1.1665e-04
ACC2 1024 4 5.00 0.8000 2.03 0.960 2.3330e-04
ACC2 1024 4 5.00 0.8000 2.03 0.980 2.9163e-04
ACC2 1024 4 5.00 0.8000 2.03 1.000 4.6661e-04
ACC2 1024 4 5.00 0.8000 3.94 0.900 6.1893e-05
ACC2 1024 4 5.00 0.8000 3.94 0.930 6.1893e-05
ACC2 1024 4 5.00 0.8000 3.94 0.960 1.8568e-04
ACC2 1024 4 5.00 0.8000 3.94 0.980 3.0946e-04
ACC2 1024 4 5.00 0.8000 3.94 1.000 3.0946e-04
ACC2 1024 4 5.00 0.8000 8.14 0.900 0.0000e+00
ACC2 1024 4 5.00 0.8000 8.14 0.930 0.0000e+00
ACC2 1024 4 5.00 0.8000 8.14 0.960 0.0000e+00
ACC2 1024 4 5.00 0.8000 8.14 0.980 0.0000e+00
ACC2 1024 4 5.00 0.8000 8.14 1.000 1.9473e-04
ACC2 1024 4 5.00 0.8000 16.12 0.900 0.0000e+00
ACC2 1024 4 5.00 0.8000 16.12 0.930 1.3545e-04
ACC2 1024 4 5.00 0.8000 16.12 0.960 2.0317e-04
ACC2 1024 4 5.00 0.8000 16.12 0.980 2.7089e-04
ACC2 1024 4 5.00 0.8000 16.12 1.000 4.0634e-04
ACC2 1024 4 5.00 0.8000 32.60 0.900 0.0000e+00
ACC2 1024 4 5.00 0.8000 32.60 0.930 0.0000e+00
ACC2 1024 4 5.00 0.8000 32.60 0.960 0.0000e+00
ACC2 1024 4 5.00 0.8000 32.60 0.980 2.1025e-04
ACC2 1024 4 5.00 0.8000 32.60 1.000 3.5041e-04
ACC2 1024 4 5.00 0.8000 64.54 0.900 0.0000e+00
ACC2 1024 4 5.00 0.8000 64.54 0.930 0.0000e+00
ACC2 1024 4 5.00 0.8000 64.54 0.960 0.0000e+00
ACC2 1024 4 5.00 0.8000 64.54 0.980 7.2396e-05
ACC2 1024 4 5.00 0.8000 64.54 1.000 1.4479e-04
ACC2 1024 4 5.00 0.8000 130.28 0.900 0.0000e+00
ACC2 1024 4 5.00 0.8000 130.28 0.930 0.0000e+00
ACC2 1024 4 5.00 0.8000 130.28 0.960 0.0000e+00
ACC2 1024 4 5.00 0.8000 130.28 0.980 0.0000e+00
